name,url,alt_text,
colorful_cellphone,colorful-cellphone.gif,the cellphone is smiling,
creature,creature.gif,it's a winking bear in a bee costume,
cute_hamburger,cutehamburger.gif,it's a sentient cheeseburger,
floppy_disk,floppy-disk.gif,it's a floppy disk whose mouth gets big and small,
fries,fries.gif,it's not mcdonalds brand,
maracaras,gaku3.gif,is it a corgi i dont know but it seems problematic,
little_house,littlehouse.gif,house wiggling amongst scernery,
makeup,makeup.gif,it's not chanel probably powder and blush,
pikamelon,p-watermelon.gif,pikachu eating a watermelon but it's not pikachu ok gamefreak tm,
soda_pop_1,popbottle1.gif,maybe cream soda,
slipper,slipper.gif,slipper aware of its surroundings be careful,
squirrel,squirrel.gif,cute squirrel probably chewing,
turtle,turtle.gif,turtle going on a walk,
what_is_this,what_is_this.gif,maybe a man in a cat costume but is also crying and also sitting,
black_diamond,black-diamond.png,black diamond shape,
lightning_bolt,bolt-orange.png,orange lightning bolt,
red_lightning_bolt,bolt-red.png,red lightning bolt,
circle_blue,circle-blue.png,a blue circle,
circle_outline,circle-outline.png,black circle outline,
yellow_circle,circle-yellow.png,a yellow circle,
blue_drop,drop-blue.png,a blue raindrop,
mint_drop,drop-mint.png,a mint colored raindrop,
flag,flag.png,a blue flag,
blue_hand,hand-blue.png,a blue colored hand,
orange_hand,hand-orange.png,an orange colored hand,
cloud,mint-cloud.png,a mint colored cloud shape,
green_moon,moon-green.png,a green crescent moon,
moon_outline,moon-outline.png,a pink moon outline shape,
octogon,octogon.png,an orange octogon shape,
red_oval,oval-red.png,a red oval shape,
pink_diamond,pink-diamond.png,a large pink diamond shape,
purple_star,purple-star.png,a purple star shape,
green_square,square-green.png,a green square,
purple_square,square-purple.png,a purple square,
sunburst,sunburst.png,a yellow sunburst,
blue_triangle,triangle-blue.png,a blue triangle,
purple_triangle,triangle-purple.png, a purple triangle shape,
black_waves,waves-black.png,black wavy lines,
blue_waves,waves-blue.png,large blue wavy lines,
mint_line,line1.png,a mint colored line,
pink_line,line2.png,a pink colored line,
purple_line,line3.png,a purple colored line,
blue_line,line4.png,a blue colored line,
dark_blue_line,line5.png,a dark blue colored line,
black_oval,oval-black.png,a slim black oval,
red_circle,circle-red.png,a medium red circle,
gold_circle,circle_gold.png,a small gold circle,
gold_line,line8.png,a gold colored line,
apricot_line,line7.png,an apricot colored line,
green_line,line6.png,a green colored line,
mint_star,poly5.png,a 6 pointed star,
light_purple_star,poly4.png,a 4 pointed star,
golden_star,poly3.png,a 4 point star,
apricot_star,poly2.png,a 10 pointed star,
dark_blue_poly,poly1.png,a 10 sided polygon,
blueish_oval,oval-blue.png,a blue green oval,
envelope_outline,mail1.png,a red envelope outline,
scissors,scissors.png,blue scissors,
umbrella,umbrella.png,a black umbrella,
paw_print,paw.png,a purple paw print,
up_arrow,arrow2.png,a pink arrow,
right_arrow,arrow1.png,a yellow arrow,
x_mark,x-shape.png,an x shape,
question,question.png,a question shape,
envelope,mail2.png,a light blue envelope,
spade,spade.png,a blue spade shape,
poly_outline,poly6.png,a purple polygon outline,
crown,crown.png,a golden crown,
clock,clock.png,a clock outline,
pointer,pointer.png,a pointer arrow,
no-shape,no-shape.png,a circle with a line slash to represent no,
circle_lines,circle-line.png,a circle made of lines,
target,target.png,a pink target shape,
